aX,aY,aZ,gX,gY,gZ
0.675,-0.506,-0.574,6.653,-0.244,-0.916
0.678,-0.509,-0.577,7.935,0.427,-2.258
0.688,-0.512,-0.578,8.24,-0.061,-2.075
,,,,,
0.669,0.12,2.117,53.04,51.819,-28.442
0.696,0.128,2.318,9.46,67.322,-22.522
0.731,0.125,2.53,-35.034,82.52,-14.282
0.77,0.192,2.653,-74.646,103.333,-5.615
0.775,0.281,2.712,-101.929,133.911,-1.709
0.771,0.375,2.681,-113.647,169.006,-3.418
0.683,0.453,2.599,-112.915,199.463,-9.46
0.581,0.544,2.508,-109.68,225.586,-17.334
0.451,0.62,2.406,-101.135,252.869,-29.968
0.272,0.61,2.272,-89.233,280.64,-46.631
0.127,0.547,2.079,-80.994,304.871,-66.956
-0.016,0.448,1.854,-76.538,326.416,-87.219
-0.127,0.32,1.599,-72.449,342.529,-100.464
-0.235,0.196,1.359,-74.28,353.088,-109.436
-0.364,0.092,1.12,-82.703,363.098,-117.004
-0.471,-0.03,0.854,-94.055,368.408,-119.141
-0.529,-0.053,0.609,-108.276,369.019,-118.713
-0.574,-0.107,0.392,-118.469,362.122,-116.455
-0.559,-0.113,0.203,-125.671,351.562,-117.92
-0.486,-0.105,0.05,-129.944,339.661,-122.131
-0.44,-0.12,-0.066,-126.282,328.064,-130.798
-0.376,-0.07,-0.162,-121.155,319.458,-141.968
-0.344,-0.113,-0.279,-103.76,311.34,-147.522
-0.236,-0.16,-0.39,-84.778,305.115,-151.855
-0.12,-0.182,-0.474,-76.111,292.786,-157.41
-0.024,-0.219,-0.536,-66.406,278.87,-160.217
0.044,-0.272,-0.608,-60.364,261.414,-160.828
0.103,-0.319,-0.662,-51.086,237,-159.18
0.176,-0.296,-0.733,-40.1,219.299,-154.358
0.271,-0.453,-0.69,-26.611,206.421,-142.09
0.314,-0.482,-0.669,-20.752,182.068,-136.597
0.372,-0.531,-0.66,-7.751,154.785,-129.089
0.436,-0.575,-0.685,6.958,127.747,-119.934
0.506,-0.617,-0.704,19.592,111.572,-107.3
0.542,-0.661,-0.703,29.541,102.234,-93.079
0.574,-0.689,-0.704,33.875,96.313,-82.764
0.601,-0.692,-0.712,32.471,91.797,-75.378
0.612,-0.672,-0.704,25.024,89.844,-68.604
0.614,-0.651,-0.705,13.245,89.783,-59.204
0.616,-0.62,-0.701,1.587,89.478,-48.828
0.617,-0.588,-0.693,-10.498,88.928,-39.063
0.614,-0.569,-0.69,-20.142,90.576,-31.677
0.621,-0.558,-0.681,-26.917,93.811,-25.513
0.622,-0.562,-0.671,-30.457,96.68,-21.851
0.631,-0.553,-0.658,-35.217,99.243,-18.433
0.628,-0.545,-0.66,-36.499,99.609,-15.869
0.628,-0.534,-0.664,-37.048,99.06,-10.01
0.624,-0.503,-0.68,-38.94,100.586,-4.822
0.624,-0.519,-0.69,-36.438,100.342,0.916
0.622,-0.504,-0.709,-34.79,96.558,5.31
0.617,-0.482,-0.732,-34.668,91.064,5.493
