aX,aY,aZ,gX,gY,gZ
-0.407,0.312,-2.039,-6.653,102.112,37.109
-0.309,0.312,-1.934,-2.930,177.979,50.293
-0.135,0.351,-1.773,-18.188,239.502,72.510
0.028,0.410,-1.552,-49.683,282.410,93.079
0.205,0.418,-1.273,-81.787,314.270,105.896
0.239,0.399,-1.005,-98.999,338.562,114.502
0.316,0.323,-0.738,-95.581,362.183,117.371
0.400,0.229,-0.509,-75.317,380.066,115.051
0.503,0.107,-0.244,-59.937,384.705,103.516
0.610,0.003,0.056,-56.213,371.582,80.017
0.610,-0.040,0.266,-65.002,338.928,42.664
0.487,-0.068,0.420,-80.017,295.410,-3.601
0.323,-0.048,0.511,-86.792,262.146,-41.565
0.057,0.066,0.585,-86.975,249.939,-59.937
-0.411,0.100,0.766,-109.314,259.949,-55.542
-0.698,0.136,1.200,-148.865,301.208,-30.945
-0.652,0.209,1.677,-176.514,358.826,7.874
-0.310,0.406,2.078,-175.049,410.095,48.889
-0.205,0.476,2.275,-141.602,419.617,72.083
-0.219,0.391,2.381,-113.342,388.855,71.106
-0.222,0.283,2.361,-80.688,347.412,63.782
-0.224,0.215,2.285,-61.523,295.410,54.199
-0.283,0.183,2.173,-66.711,229.248,37.415
-0.377,0.175,2.032,-73.914,164.978,16.357
-0.477,0.194,1.916,-73.792,121.582,-0.977
-0.553,0.218,1.834,-67.200,100.220,-14.954
-0.624,0.204,1.764,-56.824,91.064,-24.475
-0.523,0.115,1.733,-43.091,81.055,-28.198
-0.723,0.364,1.621,-83.069,71.411,-29.785
-0.670,0.549,1.647,-81.116,62.805,-8.545
-0.579,0.401,1.628,12.451,46.753,-14.404
-0.591,0.209,1.431,52.429,38.818,-28.870
-0.630,0.183,1.323,48.279,32.410,-27.283
-0.651,0.154,1.235,32.166,27.344,-21.057
-0.656,0.203,1.181,1.648,25.940,-13.000
-0.663,0.250,1.101,-10.315,29.480,-3.296
-0.629,0.226,1.044,-6.714,34.912,3.662
-0.588,0.174,0.976,-2.136,41.077,7.629
-0.546,0.133,0.905,0.732,45.288,13.123
-0.556,0.127,0.850,-14.038,43.945,18.433
-0.480,0.270,0.919,-24.475,39.185,30.090
-0.423,0.214,0.948,19.226,26.733,27.771
-0.456,0.089,0.899,42.542,24.292,13.672
-0.422,0.082,0.870,36.194,27.893,10.986
-0.405,0.087,0.875,35.461,19.165,13.245
-0.416,0.055,0.853,26.184,11.963,9.644
-0.437,0.044,0.839,12.878,6.226,9.888
-0.457,0.096,0.834,0.244,3.662,13.184
-0.459,0.086,0.815,-1.526,7.385,12.817
-0.455,0.047,0.823,1.038,11.841,9.399
-0.453,0.085,0.844,1.587,16.113,9.277
-0.443,0.088,0.849,8.667,19.226,6.836
-0.435,0.057,0.890,12.390,18.372,1.892
-0.430,0.058,0.887,12.817,15.747,-0.488
-0.426,0.081,0.900,10.254,12.268,-1.648
-0.422,0.086,0.899,9.705,9.521,-2.136
-0.426,0.084,0.893,13.000,7.141,-2.441
-0.425,0.078,0.886,16.418,4.089,-2.319
-0.432,0.067,0.879,18.555,1.282,-2.502
-0.441,0.050,0.872,18.982,-0.732,-2.686
-0.446,0.039,0.862,14.832,-1.404,-2.380
-0.447,0.039,0.862,8.057,-0.427,-1.465
-0.444,0.045,0.862,0.854,1.465,-1.160
-0.445,0.052,0.869,-4.517,3.479,-1.587
-0.435,0.069,0.879,-5.859,5.188,-2.686
-0.420,0.069,0.882,-4.211,5.493,-4.578
-0.426,0.075,0.893,-0.549,4.517,-7.507
-0.423,0.087,0.880,3.113,3.418,-9.277
-0.426,0.102,0.870,5.676,2.502,-10.071
-0.435,0.113,0.867,7.141,1.465,-10.132
-0.443,0.118,0.854,7.996,1.648,-8.545
-0.447,0.122,0.848,8.240,2.625,-5.798
-0.440,0.117,0.843,6.592,4.272,-2.808
-0.432,0.105,0.843,3.479,5.188,0.122
-0.427,0.093,0.843,-1.343,5.615,2.441
-0.421,0.089,0.848,-5.920,5.981,3.296
-0.405,0.084,0.873,-10.376,5.676,2.747
-0.399,0.083,0.883,-13.428,4.028,1.587
-0.411,0.087,0.886,-9.766,3.235,-0.671
-0.417,0.105,0.876,-2.869,4.028,-3.113
-0.418,0.129,0.872,0.916,5.249,-5.493
-0.418,0.127,0.872,2.991,5.737,-7.996
-0.430,0.133,0.871,3.967,6.470,-9.033
-0.427,0.129,0.873,3.296,7.080,-9.094
-0.426,0.132,0.870,0.793,7.080,-7.507
-0.426,0.133,0.881,-3.662,6.592,-5.615
-0.422,0.128,0.892,-5.310,5.798,-4.089
-0.410,0.115,0.897,-6.348,5.005,-3.418
-0.409,0.117,0.901,-6.348,4.089,-3.357
-0.406,0.116,0.895,-4.883,3.052,-3.479
-0.402,0.110,0.888,-2.747,1.465,-3.418
-0.411,0.109,0.879,-0.916,0.366,-3.845
-0.406,0.108,0.870,0.610,-0.122,-4.333
-0.414,0.114,0.874,0.610,0.244,-3.235
-0.405,0.113,0.864,-0.793,0.793,-2.747
-0.411,0.109,0.867,-1.892,1.343,-2.686
-0.408,0.105,0.868,-4.028,1.953,-2.441
-0.404,0.112,0.865,-5.676,1.770,-2.258
-0.399,0.113,0.866,-7.141,0.854,-2.319
-0.393,0.120,0.876,-8.606,0.366,-2.686
-0.393,0.127,0.879,-8.362,-0.244,-3.174
-0.391,0.125,0.880,-7.385,-0.977,-3.723
-0.395,0.122,0.879,-7.080,-2.502,-3.784
-0.405,0.128,0.883,-6.897,-3.662,-4.028
-0.405,0.131,0.883,-6.287,-3.845,-3.845
-0.410,0.134,0.878,-5.676,-3.357,-3.723
-0.410,0.138,0.875,-4.944,-2.441,-3.601
-0.413,0.151,0.876,-4.272,-1.099,-3.235
-0.402,0.149,0.870,-4.150,-0.122,-3.418
-0.408,0.145,0.870,-3.967,0.244,-3.479
-0.403,0.147,0.876,-3.174,0.000,-3.601
-0.396,0.141,0.875,-4.272,-0.671,-4.150
-0.400,0.148,0.876,-5.554,-1.648,-4.456
-0.402,0.152,0.870,-6.836,-2.625,-4.883
-0.410,0.157,0.871,-8.301,-3.540,-4.944
-0.411,0.161,0.864,-9.583,-4.395,-4.028
-0.412,0.163,0.857,-10.620,-4.700,-3.113
-0.418,0.173,0.862,-11.475,-4.211,-1.770

-0.256,-0.203,2.133,-109.375,279.358,16.846
-0.428,-0.168,1.918,-85.388,223.450,-5.554
-0.601,-0.109,1.681,-67.749,185.974,-25.574
-0.759,-0.023,1.617,-67.200,169.983,-37.903
-0.855,0.076,1.665,-68.115,170.593,-39.490
-0.907,0.177,1.750,-62.256,174.683,-30.762
-0.963,0.223,1.812,-51.514,177.368,-17.456
-0.970,0.195,1.796,-36.682,182.495,-2.808
-0.890,0.121,1.777,-22.583,184.082,16.357
-0.730,0.067,1.737,-17.395,175.232,35.095
-0.615,0.045,1.654,-23.987,150.146,41.687
